Date,Equity_LSTM,Equity_Hybrid,Positions_LSTM,Positions_Hybrid
2025-07-08,1517.481068257628,1467.682975696092,5,5
2025-07-08,1517.481068257628,1467.682975696092,5,5
2025-07-08,1517.481068257628,1467.682975696092,5,5
2025-07-09,1514.0635102263932,1464.265417664857,4,4
2025-07-09,1514.0635102263932,1464.265417664857,4,4
2025-07-09,1511.913510226393,1462.115417664857,5,5
2025-07-09,1511.913510226393,1462.115417664857,5,5
2025-07-09,1511.913510226393,1462.115417664857,5,5
2025-07-10,1490.253789474989,1440.4556969134528,4,4
2025-07-10,1490.253789474989,1440.4556969134528,4,4
2025-07-10,1488.1037894749888,1438.3056969134527,5,5
2025-07-10,1488.1037894749888,1438.3056969134527,5,5
2025-07-10,1488.1037894749888,1438.3056969134527,5,5
2025-07-11,1496.3225052327323,1446.5244126711962,5,5
2025-07-11,1496.3225052327323,1446.5244126711962,5,5
2025-07-11,1496.3225052327323,1446.5244126711962,5,5
2025-07-11,1496.3225052327323,1446.5244126711962,5,5
2025-07-11,1496.3225052327323,1446.5244126711962,5,5
2025-07-14,1496.3225052327323,1446.5244126711962,5,5
2025-07-14,1496.3225052327323,1446.5244126711962,5,5
2025-07-14,1496.3225052327323,1446.5244126711962,5,5
2025-07-14,1496.3225052327323,1446.5244126711962,5,5
2025-07-14,1496.3225052327323,1446.5244126711962,5,5
2025-07-15,1496.3225052327323,1446.5244126711962,5,5
2025-07-15,1496.3225052327323,1446.5244126711962,5,5
2025-07-15,1496.3225052327323,1446.5244126711962,5,5
2025-07-15,1496.3225052327323,1446.5244126711962,5,5
2025-07-15,1496.3225052327323,1446.5244126711962,5,5
2025-07-16,1496.3225052327323,1446.5244126711962,5,5
2025-07-16,1496.3225052327323,1446.5244126711962,5,5
2025-07-16,1496.3225052327323,1446.5244126711962,5,5
2025-07-16,1496.3225052327323,1446.5244126711962,5,5
2025-07-16,1496.3225052327323,1446.5244126711962,5,5
2025-07-17,1496.3225052327323,1446.5244126711962,5,5
2025-07-17,1496.3225052327323,1446.5244126711962,5,5
2025-07-17,1496.3225052327323,1446.5244126711962,5,5
2025-07-17,1496.3225052327323,1446.5244126711962,5,5
2025-07-17,1496.3225052327323,1446.5244126711962,5,5
2025-07-18,1496.3225052327323,1446.5244126711962,5,5
2025-07-18,1496.3225052327323,1446.5244126711962,5,5
2025-07-18,1496.3225052327323,1446.5244126711962,5,5
2025-07-18,1496.3225052327323,1446.5244126711962,5,5
2025-07-18,1496.3225052327323,1446.5244126711962,5,5
2025-07-21,1491.8418577040463,1442.0437651425102,5,5
2025-07-21,1491.8418577040463,1442.0437651425102,5,5
2025-07-21,1491.8418577040463,1442.0437651425102,5,5
2025-07-21,1491.8418577040463,1442.0437651425102,5,5
2025-07-21,1491.8418577040463,1442.0437651425102,5,5
2025-07-22,1483.3097204033313,1433.5116278417952,5,5
2025-07-22,1483.3097204033313,1433.5116278417952,5,5
2025-07-22,1483.3097204033313,1433.5116278417952,5,5
2025-07-22,1483.3097204033313,1433.5116278417952,5,5
2025-07-22,1483.3097204033313,1433.5116278417952,5,5
2025-07-23,1475.8372948793642,1426.039202317828,4,4
2025-07-23,1475.8372948793642,1426.039202317828,4,4
2025-07-23,1473.6872948793641,1423.889202317828,5,5
2025-07-23,1473.6872948793641,1423.889202317828,5,5
2025-07-23,1473.6872948793641,1423.889202317828,5,5
2025-07-24,1471.2355950510291,1421.437502489493,4,4
2025-07-24,1471.2355950510291,1421.437502489493,4,4
2025-07-24,1471.2355950510291,1421.437502489493,4,4
2025-07-24,1471.2355950510291,1421.437502489493,4,4
2025-07-24,1469.0308005304812,1419.232707968945,5,5
2025-07-25,1464.3092252808206,1414.5111327192844,4,4
2025-07-25,1464.3092252808206,1414.5111327192844,4,4
2025-07-25,1464.3092252808206,1414.5111327192844,4,4
2025-07-25,1462.1592252808205,1412.3611327192843,5,5
2025-07-25,1462.1592252808205,1412.3611327192843,5,5
